Name,Player Number,Position,Team Name,Height,College / Home Club,league
Lauren Stivrins,26.0,Middle Blocker,Omaha,6-4,Nebraska,lovb
Madi Kubik,33.0,Outside Hitter,Omaha,6-3,University of Nebraska,lovb
Jordyn Poulter,1.0,Setter,Salt Lake,6-2,University of Illinois,lovb
Tamaki Matsui,2.0,Setter,Salt Lake,5-7,Japan Women's College of Physical Education,lovb
Morgan Miller,3.0,Outside Hitter,Salt Lake,6-3,Cal Berkeley,lovb
Maddie Haynes,4.0,Outside Hitter,Salt Lake,6-4,University of California,lovb
Skylar Fields,5.0,Opposite Hitter,Salt Lake,6-3,USC,lovb
Tori Dixon,6.0,Middle Blocker,Salt Lake,6-3,Minnesota,lovb
Sophie Fischer,7.0,Middle Blocker,Salt Lake,6-5,Georgia,lovb
Serena Gray,11.0,Middle Blocker,Salt Lake,6-2,University of Pittsburgh,lovb
Roni Jones,12.0,Outside Hitter,Salt Lake,6-0,Brigham Young University,lovb
Haleigh Washington,15.0,Middle Blocker,Salt Lake,6-3,Penn State University,lovb
Manami Kojima,16.0,Libero,Salt Lake,5-2,Aoyama Gakuin University,lovb
Dani Drews,17.0,Outside Hitter,Salt Lake,6-0,University of Utah,lovb
Mary Lake,18.0,Libero,Salt Lake,5-7,Brigham Young University,lovb
Claire Hoffman,21.0,Outside Hitter,Salt Lake,6-2,University of Washington,lovb
Heidy Casanova,33.0,Opposite Hitter,Salt Lake,6-0,,lovb
