team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year
30220,Biola University,19591,Pacific West Conference,www.biola.edu,athletics.biola.edu,CA,D-II,2024-25
28593,Birmingham-Southern College,30169,Southern Athletic Association,www.bsc.edu,www.bscsports.net,AL,D-III,2024-25
30134,Black Hills State University,13128,Rocky Mountain Athletic Conference,www.bhsu.edu,bhsuathletics.com/,SD,D-II,2024-25
64,Blackburn College,12974,St. Louis Intercollegiate Athletic Conference,www.blackburn.edu,blackburnbeavers.com,IL,D-III,2024-25
984,Bloomfield College,28752,Central Atlantic Collegiate Conference,www.bloomfield.edu,www.bcbearsathletics.com,NJ,D-II,2024-25
65,Bloomsburg University of Pennsylvania,906,Pennsylvania State Athletic Conference,www.bloomu.edu,www.buhuskies.com,PA,D-II,2024-25
985,Bluefield State University,832,Central Intercollegiate Athletic Association,bluefieldstate.edu,gobstate.com,WV,D-II,2024-25
987,Bluffton University,9174,Heartland Collegiate Athletic Conference,www.bluffton.edu,www.blufftonbeavers.com,OH,D-III,2024-25
66,Boise State University,5486,Mountain West Conference,www.boisestate.edu,www.broncosports.com,ID,D-I,2024-25
67,Boston College,821,Atlantic Coast Conference,www.bc.edu,www.bceagles.com,MA,D-I,2024-25
68,Boston University,838,Patriot League,www.bu.edu,www.goterriers.com,MA,D-I,2024-25
69,Bowdoin College,12817,New England Small College Athletic Conference,www.bowdoin.edu,www.bowdoin.edu/athletics/,ME,D-III,2024-25
70,Bowie State University,832,Central Intercollegiate Athletic Association,www.bowiestate.edu,www.bsubulldogs.com,MD,D-II,2024-25
71,Bowling Green State University,875,Mid-American Conference,www.bgsu.edu,www.bgsufalcons.com,OH,D-I,2024-25
72,Bradley University,884,Missouri Valley Conference,www.bradley.edu,www.bradleybraves.com,IL,D-I,2024-25
73,Brandeis University,1471,University Athletic Association,www.brandeis.edu,www.brandeisjudges.com,MA,D-III,2024-25
30094,Brevard College,842,USA South Athletic Conference,www.brevard.edu,www.bctornados.com,NC,D-III,2024-25
74,University of Bridgeport,28752,Central Atlantic Collegiate Conference,www.bridgeport.edu,www.ubknights.com,CT,D-II,2024-25
75,Bridgewater College (Virginia),903,Old Dominion Athletic Conf.,www.bridgewater.edu,www.bridgewatereagles.com,VA,D-III,2024-25
76,Bridgewater State University,870,Massachusetts State Collegiate Athletic Conference,www.bridgew.edu,www.bsubears.com,MA,D-III,2024-25
77,Brigham Young University,25354,Big 12 Conference,www.byu.edu,byucougars.com,UT,D-I,2024-25
78,State University of New York at Brockport,863,Empire 8,www.brockport.edu,gobrockport.com,NY,D-III,2024-25
79,Brooklyn College,834,City University of New York Athletic Conference,www.brooklyn.cuny.edu,brooklyncollegeathletics.com,NY,D-III,2024-25
80,Brown University,865,The Ivy League,www.brown.edu,www.brownbears.com,RI,D-I,2024-25
81,Bryant University,845,America East Conference,www.bryant.edu,www.bryantbulldogs.com,RI,D-I,2024-25
30188,Bryn Athyn College,30071,United East Conference,www.brynathyn.edu,www.brynathynathletics.com,PA,D-III,2024-25
82,Bryn Mawr College,9683,Centennial Conference,www.brynmawr.edu,www.brynmawr.edu/athletics/,PA,D-III,2024-25
83,Bucknell University,838,Patriot League,bucknell.edu,bucknellbison.com,PA,D-I,2024-25
84,Buena Vista University,864,American Rivers Conference,www.bvu.edu,www.bvuathletics.com,IA,D-III,2024-25
85,"Buffalo State, State University of New York",917,State University of New York Athletic Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-III,2024-25
86,"University at Buffalo, the State University of New York",875,Mid-American Conference,www.buffalo.edu,www.ubbulls.com,NY,D-I,2024-25
87,Butler University,30184,Big East Conference,www.butler.edu,www.butlersports.com,IN,D-I,2024-25
1305,Cairn University,30071,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-III,2024-25
91,"California State Polytechnic University, Pomona",828,California Collegiate Athletic Association,www.cpp.edu,www.broncoathletics.com,CA,D-II,2024-25
995,Caldwell University,28752,Central Atlantic Collegiate Conference,www.caldwell.edu/,www.caldwellathletics.com,NJ,D-II,2024-25
30135,California Baptist University,923,Western Athletic Conference,www.calbaptist.edu,www.cbulancers.com,CA,D-I,2024-25
105,California Lutheran University,910,Southern California Intercollegiate Athletic Conf.,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25
90,California Polytechnic State University,904,Big West Conference,calpoly.edu,gopoly.com,CA,D-I,2024-25
30055,"California State University, Monterey Bay",828,California Collegiate Athletic Association,www.csumb.edu,www.otterathletics.com,CA,D-II,2024-25
94,"California State University, Bakersfield",904,Big West Conference,www.csub.edu,www.gorunners.com,CA,D-I,2024-25
95,"California State University, Chico",828,California Collegiate Athletic Association,www.csuchico.edu,www.chicowildcats.com,CA,D-II,2024-25
92,"California State University, Dominguez Hills",828,California Collegiate Athletic Association,www.csudh.edu,www.gotoros.com,CA,D-II,2024-25
98,"California State University, East Bay",828,California Collegiate Athletic Association,www.csueastbay.edu,www.eastbaypioneers.com,CA,D-II,2024-25
96,"California State University, Fresno",5486,Mountain West Conference,www.fresnostate.edu,www.gobulldogs.com,CA,D-I,2024-25
97,"California State University, Fullerton",904,Big West Conference,www.fullerton.edu,www.fullertontitans.com,CA,D-I,2024-25
101,"California State University, Northridge",904,Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25
102,"California State University, Sacramento",825,Big Sky Conference,www.csus.edu,www.hornetsports.com,CA,D-I,2024-25
93,"California State University, San Bernardino",828,California Collegiate Athletic Association,www.csusb.edu,www.csusbathletics.com,CA,D-II,2024-25
103,"California State University, Stanislaus",828,California Collegiate Athletic Association,www.csustan.edu,www.warriorathletics.com,CA,D-II,2024-25
100,"California State University, Los Angeles",828,California Collegiate Athletic Association,www.calstatela.edu,www.lagoldeneagles.com,CA,D-II,2024-25
291,"California State Polytechnic University, Humboldt",828,California Collegiate Athletic Association,www.humboldt.edu,humboldtathletics.com,CA,D-II,2024-25
30198,"California State University, San Marcos",828,California Collegiate Athletic Association,www.csusm.edu,csusmcougars.com,CA,D-II,2024-25
106,"Pennsylvania Western University, California",906,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25
107,"University of California, Berkeley",821,Atlantic Coast Conference,www.berkeley.edu,www.calbears.com,CA,D-I,2024-25
108,"University of California, Davis",904,Big West Conference,www.ucdavis.edu,www.ucdavisaggies.com,CA,D-I,2024-25
109,"University of California, Irvine",904,Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25
110,"University of California, Los Angeles",827,Big Ten Conference,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25
111,"University of California, Riverside",904,Big West Conference,www.ucr.edu,www.gohighlanders.com/,CA,D-I,2024-25
112,"University of California, San Diego",904,Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25
104,"University of California, Santa Barbara",904,Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25
113,"University of California, Santa Cruz",15810,Coast-To-Coast Athletic Conference,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25
89,California Institute of Technology,910,Southern California Intercollegiate Athletic Conf.,www.caltech.edu,www.gocaltech.com,CA,D-III,2024-25
114,Calvin University,873,Michigan Intercol. Ath. Assn.,www.calvin.edu,calvinknights.com,MI,D-III,2024-25
996,Cameron University,868,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25
115,Campbell University,837,Coastal Athletic Association,www.campbell.edu,www.gocamels.com,NC,D-I,2024-25
116,Canisius University,871,Metro Atlantic Athletic Conference,www.canisius.edu,www.gogriffs.com,NY,D-I,2024-25
30165,State University of New York at Canton,917,State University of New York Athletic Conference,www.canton.edu/,www.rooathletics.com,NY,D-III,2024-25
117,Capital University,901,Ohio Athletic Conference,www.capital.edu,www.capital.edu/athletics,OH,D-III,2024-25
118,Carleton College,882,Minnesota Intercollegiate Athletic Conference,www.carleton.edu,apps.carleton.edu/athletics/,MN,D-III,2024-25
119,Carnegie Mellon University,1471,University Athletic Association,www.cmu.edu/,athletics.cmu.edu,PA,D-III,2024-25
120,Carroll University (Wisconsin),836,College Conference of Illinois & Wisconsin,www.carrollu.edu,www.gopios.com,WI,D-III,2024-25
1000,Carson-Newman University,12850,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25
121,Carthage College,836,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25
122,Case Western Reserve University,1471,University Athletic Association,www.case.edu,athletics.case.edu,OH,D-III,2024-25
1001,Catawba College,12850,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25
124,Catholic University,30101,Landmark Conference,www.catholic.edu,www.catholicathletics.com/,DC,D-III,2024-25
14795,Cedar Crest College,30071,United East Conference,www.cedarcrest.edu,www.cedarcrestathletics.com,PA,D-III,2024-25
30124,Cedarville University,30182,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25
125,Centenary College (Louisiana),835,Southern Collegiate Athletic Conference,www.centenary.edu,www.GoCentenary.com,LA,D-III,2024-25
12884,Centenary University (New Jersey),30233,Atlantic East Conference,www.centenaryuniversity.edu,www.centenarycyclones.com,NJ,D-III,2024-25
1004,University of Central Arkansas,920,Atlantic Sun Conference,www.uca.edu,www.ucasports.com,AR,D-I,2024-25
126,Central College (Iowa),864,American Rivers Conference,www.central.edu,www.central.edu/athletics,IA,D-III,2024-25
127,Central Connecticut State University,846,Northeast Conference,www.ccsu.edu,www.ccsubluedevils.com,CT,D-I,2024-25
128,University of Central Florida,25354,Big 12 Conference,www.ucf.edu,www.ucfknights.com/,FL,D-I,2024-25
129,Central Michigan University,875,Mid-American Conference,www.cmich.edu,www.cmuchippewas.com,MI,D-I,2024-25
130,University of Central Missouri,883,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25
1009,University of Central Oklahoma,883,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25
