#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
5,Joel DeCamp,Sr.,MH,6-5,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
13,Ethan Weislo,Sr.,S,6-2,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
14,Giancarlo Carrion,Sr.,OPP,6-1,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
6,Noah Weislo,Sr.,OH,6-1,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
25,Chris Rouleau,Sr.,OH,6-5,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
21,AJ Seveland,Jr.,OH,6-3,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
8,Sam Levinson,So.,RS,6-1,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
10,Cole Kallick,So.,MB,6-5,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
20,James Browning,So.,OH,6-2,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
19,Brennan Cutter,So.,MB,6-7,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
4,Ricardo Ortiz,So.,L,5-5,,,673,Springfield College,DIII Independent,www.springfieldcollege.edu/,springfield.edu/directory/athletics,MA,D-III,2024-25,Springfield,DIII Independent
13,Sonepith Keoviengsamay,So.,OH,6-2,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
15,Connor Holmes,So.,MB,6-4,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
20,Guillermo Perez,So.,MB,6-3,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
18,Alex Quinn,So.,MB,6-4,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
17,Ian Rauh,Sr.,MB,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
1,Owen Gardner,Sr.,OH,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
4,Jimmy Roberts,Jr.,OPP,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
10,Aiden Calhoun,Jr.,S,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
5,Casey Jackson,Jr.,OH,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
6,Gabe La Robardiere,Jr.,OPP,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
7,Tyler Cohen,Sr.,OPP,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
11,Jack DeMaria,Jr.,DB,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
8,Gavin Newman,Sr.,S,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
16,Sam Shutt,Sr.,MB,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
12,Trace La Robardiere,Sr.,L/DS,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
19,Evan Ingerick,Sr.,S,-,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
14,Nick Tarataglia,So.,DB,5-10,,,601,St. John Fisher University,United Volleyball Conference,www.sjf.edu,www.sjfathletics.com,NY,D-III,2024-25,St. John Fisher,UVC
3,Jahin Sadique,Jr.,RS,5-10,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
5,Keiran McMullan,Jr.,L/DS,5-5,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
7,Levin Ma,Sr.,S,5-9,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
33,Lucky Ahmed,So.,OH,6-0,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
11,Lasha Kemashvili,So.,MB,6-0,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
6,Richard Ortega,Sr.,MB,6-4,,,30072,St. Joseph's University NY (Brooklyn),Skyline Conference,www.sjny.edu/,sjbkathletics.com/landing/index,NY,D-III,2024-25,St. Joseph's (Brkln),Skyline
11,Logan Meyer,Sr.,OH,6-1,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
1,Joe Pinner,Sr.,L,5-10,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
2,Connor Ruais,Jr.,L,5-11,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
7,Luke MacPherson,Jr.,OH,6-2,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
9,Chris Saricola,Jr.,L,5-10,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
4,Robert Kohlmann,Jr.,DB,6-0,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
12,Dominic Ruggiero,Jr.,S,5-8,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
14,Denis O'Donoghue,Sr.,OH,6-0,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
10,Umberto Piscitelli,So.,OH,6-1,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
18,Michael Kiernan,So.,OH,6-3,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
23,Alex Ksiasek,So.,OH,6-0,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
6,Adam Bender,Jr.,OH,-,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
15,Dylan Palmer,So.,MB,6-4,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
22,Jesse Renniesen,So.,S,6-5,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
5,Matt Choffi,So.,L/DS,5-10,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
21,Declan Kerns,So.,OH,6-0,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
19,Hank Foglia,Jr.,MB,6-5,,,1340,"St. Joseph's University, New York L.I.",Skyline Conference,www.sjny.edu,www.sjliathletics.com,NY,D-III,2024-25,St. Joseph's (L.I.),Skyline
3,Barry Applewhite,Jr.,OH,6-3,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
14,Nikola Zlatkovic,Jr.,MB,6-2,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
20,Michael Whitney,Jr.,OH,6-1,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
5,Ryan Conway,Jr.,L/DS,6-0,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
17,John Stube,Sr.,DB,6-0,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
16,Boston Peck,Sr.,L/DS,5-10,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
18,Owen Knezevich,Sr.,OH,6-1,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
6,Kade Nelson,Jr.,MB,6-3,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
8,Kaden Kornaus,Jr.,OH,6-1,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
15,Jack Perhach,Jr.,L/DS,6-0,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
4,Grant Bettag,So.,MB,6-3,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
25,Zach Hanse,So.,DB,6-0,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
23,Logan Crowther,Jr.,MB,6-4,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
10,Wade La Blanc,So.,RS,6-3,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
2,Tommy Fleming,So.,MB,6-1,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
11,Jacob Van Ooyen,So.,OH,6-5,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
21,Ethan Grassl,So.,DB,5-7,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
13,Mason Werner,Sr.,RS,6-3,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
22,Bennett Kornaus,So.,OH,6-2,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
24,Cam Doty,So.,OH,6-0,,,614,St. Norbert College,Northern Athletics Collegiate Conference,www.snc.edu,athletics.snc.edu,WI,D-III,2024-25,St. Norbert,NACC
15,David Weiss,So.,MB,6-7,"Oyten, Germany",IGS Oyten,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
16,Andre Cippiciani,Fr.,OH,6-2,"Sao Paulo, Brazil",Colegio Campos Salles,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
9,Kyran Versteegen,So.,S,6-4,"Sittard, Netherlands",Segbroek College,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
10,Gabriel Vieira,So.,OH,6-9,"Belo Horizonte, Brazil",Rede Decisao,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
1,Thomas Santos,So.,L,5-9,"Miami, FL",Miami Senior,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
14,Joaquin La Jara,So.,S,6-2,"Lima, Peru",Colegio Franklin Roosevelt,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
4,Marcus Franck,Jr.,S,6-5,"Congonhas, Brazil",Instituto Padre Machado,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
5,Nicholas Santos,So.,OH,6-3,"Rio de Janeiro, Brazil",Colegio Notre Dame,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
18,Alusine Kemokai,Fr.,MB,6-2,"Linden, NJ",Linden,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
11,Charles Carroll,Fr.,OH,6-1,"Fremont, CA",American,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
3,Sietse Pol,Fr.,OH,6-0,"Apeldoorn, Netherlands",Veluws College Walterbosch,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
21,Anthony Fedor,Fr.,OH,6-5,"Smithtown, NY",Smithtown,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
2,Raoul Kerkdijk,Fr.,MB,6-8,"Apeldoorn, Netherlands",Veluws College Walterbosch,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
6,Rayden Powell,Fr.,MB,6-3,"Acworth, GA",Allatoona,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
13,Damian Baker,So.,MB,6-7,"Porta Westfalica, Germany",Carl-von-Weinberg Schule,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
24,Liam Reinmuth,Fr.,RS,6-3,"Suffern, NY",Suffern,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
7,Jannis Freude,Fr.,OPP,6-5,"Oldenburg, Germany",Wirtschaftsgymnasium Oldenburg,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
22,Ivaylo Todorov,Fr.,L,5-10,"Aktau, Kazakhstan",Specialized IT Lyceum,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
12,Joaquim Petegrosso,Fr.,OH,6-1,"Orlando, FL",Freedom,1348,St. Thomas Aquinas College,East Coast Conference,https://www.stac.edu/,https://www.stacathletics.com/landing/index,NY,D-I,2024-25,St. Thomas Aquinas,ECC
14,Nicolas Serapiglia,Jr.,OH,6-1,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
16,Chrystiaan Sexton,Jr.,OH,6-4,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
21,Zebadiah Wyant,Jr.,OH,6-3,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
18,Shawn McSwiggen,Jr.,RS,6-5,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
5,Stephen Laun,Jr.,L/DS,6-1,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
17,Rocco Marino,So.,MH,6-3,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
4,Josh Havrilla,So.,OH,5-9,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
13,Tyler Nelson,So.,OH,6-2,,,30064,Saint Vincent College,Presidents' Athletic Conference,www.stvincent.edu,www.athletics.stvincent.edu,PA,D-III,2024-25,Saint Vincent,PAC
11,Moses Wagner,Jr.,OPP,6-6,"San Jose, CA",Bellarmine College Prep,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
10,Ryan DuRoss,Jr.,OH,6-3,"Gilroy, CA",Christopher High School,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
22,Luke McFall,Jr.,MB,6-9,"Pleasanton, CA",Amador Valley,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
5,Alex Rottman,Jr.,OH,6-6,"Santa Barbara, CA",Santa Barbara,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
7,Theo Snoey,Jr.,OPP,6-8,"Berkeley, CA",Head-Royce School,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
23,Theoren Brouillette,Jr.,S,6-3,"San Jose, CA",Bellarmine College Prep,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
2,Carson Kneisl,So.,OH,6-6,"Arvada, CO",Arvada West,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
8,Ignacio Brito,So.,OH,6-4,"Miami, FL",Christopher Columbus,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
13,Gray Mandelbaum,So.,MB,6-8,"Los Angeles, CA",Brentwood,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
28,Nate Clinton,So.,OH,6-4,"Pleasanton, CA",Amador Valley,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
1,Evan Porter,Fr.,L/DS,6-0,"Honolulu, HI",Punahou School,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
15,David Wolff,Fr.,OH,6-8,"Wilmette, IL",New Trier,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
14,Ryan Gant,Fr.,S,6-5,"Newport Beach, CA",Corona del Mar,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
18,Kaumana Carreira,Fr.,MB,6-8,"Mission Viejo, CA",Tesoro,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
12,Reed Wainwright,Fr.,MB,6-7,"Newport Beach, CA",St. Margaret's Episcopal School,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
24,Kai Schmitt,Fr.,L/DS,6-1,"San Clemente, CA",San Clemente,674,Stanford University,Mountain Pacific Sports Federation,www.stanford.edu,gostanford.com/,CA,D-I,2024-25,Stanford,MPSF
3,Tyler Hoke,Jr.,MH,6-7,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
6,Phillip Bone,Jr.,OH,6-1,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
10,Kevin Herbst,Sr.,S,6-0,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
16,Jesse Knuckles,Sr.,L,5-9,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
18,Koby Sherman,Sr.,OH,6-6,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
1,Brandon Rogers,Sr.,OPP,6-4,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
17,Sebastian Huyke,Sr.,S,6-1,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
30,Hunter Schmidt,Sr.,MH,6-2,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
28,Jack Hershman,Sr.,OH,6-2,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
9,Nick Schmidt,So.,S,6-0,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
27,Dominic Ambrose,So.,OH,6-2,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
12,Ryan Schmid,So.,OPP,6-4,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
23,Tyler Christensen,Sr.,OH,6-4,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
7,Jefferson Overheu,So.,MB,6-6,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
13,Joshua Levandoske,So.,OH,6-3,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
22,Esteban Schmitt,So.,MB,6-6,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
21,Alex Olcott,So.,OH,6-3,,,679,Stevens Institute of Technology,Middle Atlantic Conferences,www.stevens.edu,www.stevensducks.com,NJ,D-III,2024-25,Stevens,Middle Atlantic
19,JD Sarmuksnis,Jr.,L,5-6,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
20,Corwin Trouteaud,Jr.,MB,6-3,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
12,Jack Braverman,Jr.,OH,6-2,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
3,Dani Stewart,Jr.,L,5-6,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
9,Kevin Kouchoukos,Jr.,S,6-2,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
4,Doug Hines,Sr.,S,5-10,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
10,Brian Farrell,Sr.,OH,6-4,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
2,Tim Flanagan,Sr.,OH,6-4,,,21852,Stevenson University,Middle Atlantic Conferences,www.stevenson.edu,www.gomustangsports.com,MD,D-III,2024-25,Stevenson,Middle Atlantic
