"10/09/2024 07:00 PM","Piedmont University","Agnes Scott College","Cave Arena - Johnny Mize Athletic Center"
"10/12/2024 04:00 PM","Maryville College (Tennessee)","Agnes Scott College","Cooper Athletic Center, Randy Lambert Court"
"10/12/2024 TBA","LaGrange College","Agnes Scott College","Richter Gymnasium"
"10/16/2024 06:00 PM","Agnes Scott College","Wesleyan College (Georgia)","Woodruff Gym"
"10/19/2024 04:00 PM","Huntingdon College","Agnes Scott College","Catherine Dixon Roland Arena"
"10/19/2024 04:00 PM","Covenant College","Agnes Scott College","Barnes PE Center"
"10/26/2024 02:00 PM","Belhaven University","Agnes Scott College","Heidelberg Gymnasium"
"10/26/2024 12:00 PM","Asbury University","Agnes Scott College","Luce Center"
"10/30/2024 07:00 PM","Agnes Scott College","Piedmont University","Woodruff Gym"
"11/02/2024 12:00 PM","Agnes Scott College","Maryville College (Tennessee)","Woodruff Gym"
"11/02/2024 TBA","Agnes Scott College","LaGrange College","Woodruff Gym"
"08/30/2024 07:30 PM","University of Evansville","University of Akron","Carson Center"
"08/31/2024 04:30 PM","Liberty University","University of Akron","Liberty Arena"
"09/06/2024 06:00 PM","University of Akron","Cleveland State University","James A. Rhodes Arena"
"09/08/2024 06:00 PM","University of Akron","University of Wyoming","James A. Rhodes Arena"
"09/09/2024 12:00 PM","University of Akron","The University of Texas Rio Grande Valley","James A. Rhodes Arena"
"09/10/2024 06:00 PM","University of Akron","Mercyhurst University","James A. Rhodes Arena"
"09/13/2024 07:00 PM","University of Michigan","University of Akron","Cliff Keen Arena"
"09/13/2024 12:00 PM","Saint Francis University ","University of Akron","DeGol Arena"
"09/14/2024 12:00 PM","California State University, Sacramento","University of Akron","The Nest"
"09/17/2024 06:00 PM","University of Cincinnati","University of Akron","Fifth Third Arena"
"09/19/2024 06:00 PM","University of Akron","Youngstown State University","James A. Rhodes Arena"
"09/20/2024 06:00 PM","Cleveland State University","University of Akron","Woodling Gym"
"09/27/2024 06:00 PM","University of Akron","Ohio University","James A. Rhodes Arena"
"09/28/2024 04:00 PM","University of Akron","Ohio University","James A. Rhodes Arena"
"10/03/2024 07:00 PM","Northern Illinois University","University of Akron","Victor E. Court"
"10/04/2024 07:00 PM","Northern Illinois University","University of Akron","Victor E. Court"
"10/08/2024 06:00 PM","University of Akron","University at Buffalo, the State University of New York","James A. Rhodes Arena"
"10/11/2024 06:00 PM","Ball State University","University of Akron","Worthen Arena"
"10/12/2024 04:00 PM","Miami University (Ohio)","University of Akron","Millett Hall"
"10/17/2024 06:00 PM","University of Akron","University of Toledo","James A. Rhodes Arena"
"10/18/2024 06:00 PM","University of Akron","Bowling Green State University","James A. Rhodes Arena"
"10/22/2024 06:00 PM","University at Buffalo, the State University of New York","University of Akron","Alumni Arena"
"10/24/2024 06:00 PM","University of Akron","Western Michigan University","James A. Rhodes Arena"
"10/25/2024 06:00 PM","University of Akron","Western Michigan University","James A. Rhodes Arena"
"11/01/2024 06:00 PM","Kent State University","University of Akron","Memorial Athletic Center"
"11/02/2024 04:00 PM","Kent State University","University of Akron","Memorial Athletic Center"
"11/08/2024 06:00 PM","Eastern Michigan University","University of Akron","George Gervin GameAbove Center"
"11/09/2024 04:00 PM","Eastern Michigan University","University of Akron","George Gervin GameAbove Center"
"11/15/2024 06:00 PM","University of Akron","Central Michigan University","James A. Rhodes Arena"
"11/16/2024 06:00 PM","University of Akron","Central Michigan University","James A. Rhodes Arena"
"08/30/2024 01:30 PM","University of Alabama","Grambling State University","Foster Auditorium"
"08/30/2024 08:00 PM","University of Alabama","The Citadel","Foster Auditorium"
"08/31/2024 03:00 PM","University of Alabama","University of Tennessee at Martin","Foster Auditorium"
"09/05/2024 04:00 PM","Prairie View A&M University","University of Alabama","Baby Dome"
"09/06/2024 07:00 PM","Alabama State University","University of Alabama","Lockhart Gymnasium"
"09/07/2024 11:00 AM","University of Arizona","University of Alabama","McKale Center"
"09/13/2024 01:30 PM","Sam Houston State University","University of Alabama","Johnson Coliseum"
"09/13/2024 08:00 PM","University of Texas at San Antonio","University of Alabama","Convocation Center"
"09/14/2024 12:00 PM","University of Central Arkansas","University of Alabama","Prince Center"
"09/17/2024 07:00 PM","University of Alabama","University of North Alabama","Foster Auditorium"
"09/21/2024 03:00 PM","University of Alabama","Florida State University","Foster Auditorium"
"09/25/2024 07:00 PM","University of Tennessee, Knoxville","University of Alabama","Food City Center"
"09/29/2024 05:00 PM","Auburn University","University of Alabama","Neville Arena"
"10/06/2024 03:00 PM","University of Alabama","University of Georgia","Foster Auditorium"
"10/11/2024 08:00 PM","University of Missouri, Columbia","University of Alabama","Hearnes Center"
"10/13/2024 04:00 PM","University of Arkansas, Fayetteville","University of Alabama","Barnhill Arena"
"10/16/2024 05:00 PM","University of Alabama","Auburn University","Foster Auditorium"
"10/20/2024 TBA","University of Alabama","University of Kentucky","Foster Auditorium"
"10/23/2024 07:00 PM","University of Oklahoma","University of Alabama","McCasland Field House"
"11/01/2024 07:30 PM","Texas A&M University, College Station","University of Alabama","Reed Arena"
"11/03/2024 02:00 PM","Louisiana State University","University of Alabama","Maravich Assembly Center"
"11/10/2024 01:00 PM","University of Florida","University of Alabama","Exactech Arena at Stephen C. O'Connell Center"
"11/15/2024 TBA","University of Alabama","Mississippi State University","Foster Auditorium"
"11/17/2024 01:00 PM","University of Alabama","University of Texas at Austin","Foster Auditorium"
"11/22/2024 TBA","University of Alabama","University of South Carolina, Columbia","Foster Auditorium"
"11/24/2024 TBA","University of Alabama","University of Mississippi","Foster Auditorium"
