team_name,team_short,conference_name,conference_short,level,division,sportRegion,school_athletic_url
University of Rochester,Rochester (NY),University Athletic Association,UAA,NCAA Women,III,REGION III,www.rochester.edu/athletics
Rochester Institute of Technology,RIT,Liberty League,Liberty League,NCAA Women,III,REGION III,www.ritathletics.com
University of Rhode Island,Rhode Island,Atlantic 10 Conference,Atlantic 10,NCAA Women,I,EAST REGION,www.gorhody.com
University of San Francisco,San Francisco,West Coast Conference,WCC,NCAA Women,I,WEST REGION,usfdons.com/index.aspx
University of Southern Maine,Southern Me.,Little East Conference,Little East,NCAA Women,III,REGION I,www.southernmainehuskies.com
San Jose State University,San Jose St.,Mountain West Conference,Mountain West,NCAA Women,I,WEST REGION,www.sjsuspartans.com
University of South Carolina Upstate,USC Upstate,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,www.upstatespartans.com
University of South Dakota,South Dakota,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.goyotes.com
South Dakota School of Mines & Technology,South Dakota Mines,Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,gorockers.com
South Dakota State University,South Dakota St.,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.gojacks.com
University of South Florida,South Fla.,American Athletic Conference,The American,NCAA Women,I,SOUTHEAST REGION,www.gousfbulls.com/
Southeast Missouri State University,Southeast Mo. St.,Ohio Valley Conference,OVC,NCAA Women,I,SOUTH REGION,www.semoredhawks.com
Southeastern Louisiana University,Southeastern La.,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.lionsports.net
Southeastern Oklahoma State University,Southeastern Okla.,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.gosoutheastern.com
Southern Arkansas University,Southern Ark.,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.muleriderathletics.com
University of Southern California,Southern California,Big Ten Conference,Big Ten,NCAA Women,I,WEST REGION,usctrojans.com
Southern Connecticut State University,Southern Conn. St.,Northeast-10 Conference,NE10,NCAA Women,II,EAST REGION,scsuowls.com
Southern Illinois University at Carbondale,Southern Ill.,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,www.siusalukis.com/
Southern Illinois University Edwardsville,SIUE,Ohio Valley Conference,OVC,NCAA Women,I,SOUTH REGION,www.siuecougars.com
University of Southern Indiana,Southern Ind.,Ohio Valley Conference,OVC,NCAA Women,I,SOUTHEAST REGION,www.usiscreamingeagles.com/
Purdue University,Purdue,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,purduesports.com
Southern Methodist University,SMU,Atlantic Coast Conference,ACC,NCAA Women,I,SOUTHEAST REGION,www.smumustangs.com
The University of Southern Mississippi,Southern Miss.,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,www.southernmiss.com
Southern Nazarene University,Southern Nazarene,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,snuathletics.com
Southern New Hampshire University,Southern N.H.,Northeast-10 Conference,NE10,NCAA Women,II,EAST REGION,www.snhupenmen.com
"Southern University, Baton Rouge",Southern U.,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.gojagsports.com
Southern Utah University,Southern Utah,Western Athletic Conference,WAC,NCAA Women,I,WEST REGION,www.suutbirds.com
Southern Virginia University,Southern Va.,USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,knightathletics.com
Southern Wesleyan University,Southern Wesleyan,Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,swuathletics.com
South Carolina State University,South Carolina St.,Mid-Eastern Athletic Conf.,MEAC,NCAA Women,I,SOUTHEAST REGION,www.scsuathletics.com/index.aspx
University of South Carolina Aiken,USC Aiken,Peach Belt Conference,Peach Belt,NCAA Women,II,SOUTHEAST REGION,www.pacersports.com
"University of South Carolina, Columbia",South Carolina,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,gamecocksonline.com
University of South Alabama,South Alabama,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,www.usajaguars.com
Santa Clara University,Santa Clara,West Coast Conference,WCC,NCAA Women,I,WEST REGION,santaclarabroncos.com
Sarah Lawrence College,Sarah Lawrence,Skyline Conference,Skyline,NCAA Women,III,REGION III,www.gogryphons.com
Savannah State University,Savannah St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Women,II,SOUTH REGION,ssuathletics.com/
Schreiner University,Schreiner,Southern Collegiate Athletic Conference,SCAC,NCAA Women,III,REGION X,www.schreinermountaineers.com
University of Scranton,Scranton,Landmark Conference,Landmark,NCAA Women,III,REGION V,athletics.scranton.edu
Seattle Pacific University,Seattle Pacific,Great Northwest Athletic Conference,Great Northwest,NCAA Women,II,WEST REGION,spufalcons.com/index.aspx
Seattle University,Seattle U,Western Athletic Conference,WAC,NCAA Women,I,WEST REGION,goseattleu.com
Seton Hall University,Seton Hall,Big East Conference,Big East,NCAA Women,I,MIDWEST REGION,www.shupirates.com
Seton Hill University,Seton Hill,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.setonhill.edu/athletics
University of the South,Sewanee,Southern Athletic Association,SAA,NCAA Women,III,REGION VI,sewaneetigers.com/
Shaw University,Shaw,Central Intercollegiate Athletic Association,CIAA,NCAA Women,II,ATLANTIC REGION,www.shawbears.com
San Francisco State University,San Fran. St.,California Collegiate Athletic Association,CCAA,NCAA Women,II,WEST REGION,sfstategators.com
Shenandoah University,Shenandoah,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,www.suhornets.com
Shippensburg University of Pennsylvania,Shippensburg,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.shipraiders.com
Shorter University,Shorter,Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,www.goshorterhawks.com
Siena College,Siena,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.sienasaints.com
Simmons University,Simmons,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,athletics.simmons.edu
Simon Fraser University,Simon Fraser,Great Northwest Athletic Conference,Great Northwest,NCAA Women,II,WEST REGION,athletics.sfu.ca/
Simpson College,Simpson,American Rivers Conference,American Rivers,NCAA Women,III,REGION IX,simpsonathletics.com
University of Sioux Falls,Sioux Falls,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.usfcougars.com
Skidmore College,Skidmore,Liberty League,Liberty League,NCAA Women,III,REGION III,skidmoreathletics.com/
Slippery Rock University of Pennsylvania,Slippery Rock,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.rockathletics.com
Smith College,Smith,New England Women's and Men's Athletic Conference,NEWMAC,NCAA Women,III,REGION II,www.smithpioneers.com
Sonoma State University,Sonoma St.,California Collegiate Athletic Association,CCAA,NCAA Women,II,WEST REGION,www.sonomaseawolves.com
Shepherd University,Shepherd,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,shepherdrams.com
Purdue University Fort Wayne,Purdue Fort Wayne,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,www.gomastodons.com/
State University of New York at Oswego,Oswego St.,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,oswegolakers.com
University of Puget Sound,Puget Sound,Northwest Conference,NWC,NCAA Women,III,REGION X,www.loggerathletics.com
Northern Arizona University,Northern Ariz.,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,www.nauathletics.com
University of Northern Colorado,Northern Colo.,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,uncbears.com
Northern Illinois University,NIU,Mid-American Conference,MAC,NCAA Women,I,MIDWEST REGION,www.niuhuskies.com
University of Northern Iowa,UNI,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,unipanthers.com
Northern Kentucky University,Northern Ky.,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,www.nkunorse.com
Northern Michigan University,Northern Mich.,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.nmuwildcats.com
Northern State University,Northern St.,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,nsuwolves.com
Northland College,Northland,Upper Midwest Athletic Conference,UMAC,NCAA Women,III,REGION IX,www.northlandcollegesports.com
Northwest Missouri State University,Northwest Mo. St.,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,bearcatsports.com
Northwest Nazarene University,Northwest Nazarene,Great Northwest Athletic Conference,Great Northwest,NCAA Women,II,WEST REGION,nnusports.com
Northwestern Oklahoma State University,Northwestern Okla.,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.riderangersride.com
Northwestern State University,Northwestern St.,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.nsudemons.com
Northwestern University,Northwestern,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.nusports.com
University of Northwestern-St. Paul,Northwestern-St. Paul,Upper Midwest Athletic Conference,UMAC,NCAA Women,III,REGION IX,unweagles.com
Northwood University,Northwood,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,gonorthwood.com
Norwich University,Norwich,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.norwichathletics.com
University of Notre Dame,Notre Dame,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.und.com
Notre Dame of Maryland University,Notre Dame (MD),United East Conference,United East,NCAA Women,III,REGION IV,www.notredamegators.com
Nova Southeastern University,Nova Southeastern,Sunshine State Conference,Sunshine State,NCAA Women,II,SOUTH REGION,nsusharks.com
Oakland University,Oakland,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,goldengrizzlies.com
Oberlin College,Oberlin,North Coast Athletic Conference,NCAC,NCAA Women,III,REGION VII,www.goyeo.com
Occidental College,Occidental,Southern California Intercollegiate Athletic Conf.,SCIAC,NCAA Women,III,REGION X,www.oxyathletics.com
Oglethorpe University,Oglethorpe,Southern Athletic Association,SAA,NCAA Women,III,REGION VI,www.gopetrels.com
Northeastern University,Northeastern,Coastal Athletic Association,CAA,NCAA Women,I,EAST REGION,www.nuhuskies.com
University of North Texas,North Texas,American Athletic Conference,The American,NCAA Women,I,SOUTHEAST REGION,www.meangreensports.com
North Park University,North Park,College Conference of Illinois & Wisconsin,CCIW,NCAA Women,III,REGION VIII,www.northpark.edu/athletics/
North Greenville University,North Greenville,Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,www.nguathletics.com
University of New Orleans,New Orleans,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.unoprivateers.com
State University of New York at New Paltz,SUNY New Paltz,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,www.nphawks.com
Newberry College,Newberry,South Atlantic Conference,SAC,NCAA Women,II,SOUTHEAST REGION,www.newberrywolves.com
Newman University,Newman,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.newmanjets.com
Niagara University,Niagara,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.purpleeagles.com
Nicholls State University,Nicholls,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.geauxcolonels.com
Nichols College,Nichols,Conference of New England,CNE,NCAA Women,III,REGION II,www.nicholsathletics.com
Norfolk State University,Norfolk St.,Mid-Eastern Athletic Conf.,MEAC,NCAA Women,I,SOUTHEAST REGION,www.nsuspartans.com
University of North Alabama,North Ala.,Atlantic Sun Conference,ASUN,NCAA Women,I,SOUTHEAST REGION,www.roarlions.com
University of North Carolina Asheville,UNC Asheville,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,www.uncabulldogs.com
North Carolina A&T State University,N.C. A&T,Coastal Athletic Association,CAA,NCAA Women,I,EAST REGION,www.ncataggies.com
Ohio Dominican University,Ohio Dominican,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,www.ohiodominicanpanthers.com
North Carolina Central University,N.C. Central,Mid-Eastern Athletic Conf.,MEAC,NCAA Women,I,SOUTHEAST REGION,www.nccueaglepride.com
North Carolina Wesleyan University,N.C. Wesleyan,USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,https://ncwsports.com/
University of North Carolina Wilmington,UNCW,Coastal Athletic Association,CAA,NCAA Women,I,EAST REGION,www.uncwsports.com
"University of North Carolina, Chapel Hill",North Carolina,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.goheels.com
The University of North Carolina at Charlotte,Charlotte,American Athletic Conference,The American,NCAA Women,I,SOUTHEAST REGION,www.charlotte49ers.com
The University of North Carolina at Greensboro,UNC Greensboro,Southern Conference,SoCon,NCAA Women,I,SOUTHEAST REGION,www.uncgspartans.com
University of North Carolina at Pembroke,UNC Pembroke,Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,www.uncpbraves.com
North Central College,North Central (IL),College Conference of Illinois & Wisconsin,CCIW,NCAA Women,III,REGION VIII,northcentralcardinals.com
North Central University,North Central (MN),Upper Midwest Athletic Conference,UMAC,NCAA Women,III,REGION IX,www.ncurams.com
University of North Dakota,North Dakota,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.fightinghawks.com
North Dakota State University,North Dakota St.,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.GoBison.com
University of North Florida,North Florida,Atlantic Sun Conference,ASUN,NCAA Women,I,SOUTHEAST REGION,www.unfospreys.com
North Carolina State University,NC State,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.gopack.com
Ohio Northern University,Ohio Northern,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,onusports.com/landing/index
The Ohio State University,Ohio St.,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,ohiostatebuckeyes.com/
Ohio University,Ohio,Mid-American Conference,MAC,NCAA Women,I,MIDWEST REGION,www.ohiobobcats.com
Piedmont University,Piedmont,Collegiate Conference of the South,CCS,NCAA Women,III,REGION VI,www.piedmontlions.com
Pittsburg State University,Pittsburg St.,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.pittstategorillas.com
University of Pittsburgh,Pittsburgh,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.pittsburghpanthers.com
"University of Pittsburgh, Bradford",Pitt.-Bradford,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,athletics.pittbradford.org/landing/index
"University of Pittsburgh, Greensburg",Pitt.-Greensburg,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,pittgreensburgathletics.com/
"University of Pittsburgh, Johnstown",Pitt.-Johnstown,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,pittjohnstownathletics.com/
Plattsburgh State University of New York,Plattsburgh St.,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,www.gocardinalsports.com/
Plymouth State University,Plymouth St.,Little East Conference,Little East,NCAA Women,III,REGION I,athletics.plymouth.edu/
Point Loma Nazarene University,Point Loma,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,www.plnusealions.com
Point Park University,Point Park,Mountain East Conference,MEC,NCAA Women,II,UNASSIGNED,pointparksports.com
State University of New York Polytechnic Institute,SUNY Poly,Empire 8,Empire 8,NCAA Women,III,REGION III,wildcats.sunypoly.edu/landing/index
Pfeiffer University,Pfeiffer,USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,www.gofalconsports.com
Pomona-Pitzer Colleges,Pomona-Pitzer,Southern California Intercollegiate Athletic Conf.,SCIAC,NCAA Women,III,REGION X,www.sagehens.com
Portland State University,Portland St.,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,goviks.com
Post University,Post,Central Atlantic Collegiate Conference,CACC,NCAA Women,II,EAST REGION,www.posteagles.com
State University of New York at Potsdam,SUNY Potsdam,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,www.potsdambears.com
Prairie View A&M University,Prairie View,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.pvpanthers.com
Pratt Institute,Pratt,Atlantic East Conference,Atlantic East,NCAA Women,III,REGION V,www.goprattgo.com
Presbyterian College,Presbyterian,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,gobluehose.com
Princeton University,Princeton,The Ivy League,Ivy League,NCAA Women,I,EAST REGION,www.goprincetontigers.com
Principia College,Principia,St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,www.principiaathletics.com
Providence College,Providence,Big East Conference,Big East,NCAA Women,I,MIDWEST REGION,www.friars.com
"University of Puerto Rico, Bayamon",P.R.-Bayamon,Independent,-,NCAA Women,II,SOUTH REGION,www.uprb.edu
"University of Puerto Rico, Rio Piedras",P.R.-Rio Piedras,Independent,-,NCAA Women,II,SOUTH REGION,https://estudiantes.uprrp.edu/desarollo-estudiantil/departamento-atletico/
University of Portland,Portland,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.portlandpilots.com
"Purchase College, State University of New York",Purchase,Skyline Conference,Skyline,NCAA Women,III,REGION III,www.purchasecollegeathletics.com
Pepperdine University,Pepperdine,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.pepperdinewaves.com
Penn State Brandywine,Penn St. Brandywine,United East Conference,United East,NCAA Women,III,REGION IV,https://www.psubrandywineathletics.com/landing/index
Ohio Wesleyan University,Ohio Wesleyan,North Coast Athletic Conference,NCAC,NCAA Women,III,REGION VII,battlingbishops.com/
University of Oklahoma,Oklahoma,Southeastern Conference,SEC,NCAA Women,I,SOUTH REGION,soonersports.com
Oklahoma Baptist University,Okla. Baptist,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.obubison.com
Oklahoma Christian University,Okla. Christian,Lone Star Conference,Lone Star,NCAA Women,II,SOUTH CENTRAL REGION,www.oceagles.com
Old Dominion University,Old Dominion,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,www.odusports.com
State University of New York at Oneonta,SUNY Oneonta,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,www.oneontaathletics.com
Oral Roberts University,Oral Roberts,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.oruathletics.com
University of Oregon,Oregon,Big Ten Conference,Big Ten,NCAA Women,I,WEST REGION,www.goducks.com
Oregon State University,Oregon St.,West Coast Conference,WCC,NCAA Women,I,WEST REGION,osubeavers.com/
Southwest Baptist University,Southwest Baptist,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,www.sbubearcats.com
Otterbein University,Otterbein,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,www.otterbeincardinals.com
Pennsylvania State University,Penn St.,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,goPSUsports.com
Ouachita Baptist University,Ouachita Baptist,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.obutigers.com
University of the Pacific,Pacific,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.pacifictigers.com
Pacific Lutheran University,Pacific Lutheran,Northwest Conference,NWC,NCAA Women,III,REGION X,www.golutes.com
Pacific University (Oregon),Pacific (OR),Northwest Conference,NWC,NCAA Women,III,REGION X,www.goboxers.com
Palm Beach Atlantic University,Palm Beach Atl.,Sunshine State Conference,Sunshine State,NCAA Women,II,SOUTH REGION,www.pbasailfish.com
Pennsylvania College of Technology,Penn College,United East Conference,United East,NCAA Women,III,REGION IV,athletics.pct.edu
"Penn State University, Altoona",Penn St.-Altoona,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,www.psaltoonalions.com
"Pennsylvania State Univ. Erie, the Behrend College",Penn St.-Behrend,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,PSBLions.com
Penn State Harrisburg,Penn St. Harrisburg,United East Conference,United East,NCAA Women,III,REGION IV,athletics.hbg.psu.edu/landing/index
Penn State Berks College,Penn St.-Berks,United East Conference,United East,NCAA Women,III,REGION IV,www.psuberksathletics.com
University of Pennsylvania,Penn,The Ivy League,Ivy League,NCAA Women,I,EAST REGION,www.pennathletics.com
"Penn State University, Abington",Penn St.-Abington,United East Conference,United East,NCAA Women,III,REGION IV,www.abingtonsports.com
Pace University,Pace,Northeast-10 Conference,NE10,NCAA Women,II,EAST REGION,www.paceuathletics.com
Southwest Minnesota State University,Southwest Minn. St.,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.smsumustangs.com
Susquehanna University,Susquehanna,Landmark Conference,Landmark,NCAA Women,III,REGION V,www.gosusqu.com
Southwestern University (Texas),Southwestern (TX),Southern Collegiate Athletic Conference,SCAC,NCAA Women,III,REGION X,www.southwesternpirates.com
Wellesley College,Wellesley,New England Women's and Men's Athletic Conference,NEWMAC,NCAA Women,III,REGION II,www.wellesleyblue.com
Wentworth Institute of Technology,Wentworth,Conference of New England,CNE,NCAA Women,III,REGION II,www.wentworthathletics.com
Wesleyan University (Connecticut),Wesleyan (CT),New England Small College Athletic Conference,NESCAC,NCAA Women,III,REGION I,www.wesleyan.edu/athletics
Wesleyan College (Georgia),Wesleyan (GA),Collegiate Conference of the South,CCS,NCAA Women,III,REGION VI,www.wesleyanathletics.com
University of West Alabama,West Ala.,Gulf South Conference,Gulf South,NCAA Women,II,SOUTH REGION,www.uwaathletics.com
West Chester University of Pennsylvania,West Chester,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.wcupagoldenrams.com
University of West Florida,West Florida,Gulf South Conference,Gulf South,NCAA Women,II,SOUTH REGION,www.goargos.com
University of West Georgia,West Ga.,Atlantic Sun Conference,ASUN,NCAA Women,I,WEST REGION,www.uwgathletics.com
West Liberty University,West Liberty,Mountain East Conference,MEC,NCAA Women,II,ATLANTIC REGION,www.hilltoppersports.com
West Texas A&M University,West Tex. A&M,Lone Star Conference,Lone Star,NCAA Women,II,SOUTH CENTRAL REGION,www.gobuffsgo.com
West Virginia State University,West Virginia St.,Mountain East Conference,MEC,NCAA Women,II,ATLANTIC REGION,www.wvsuyellowjackets.com
West Virginia University,West Virginia,Big 12 Conference,Big 12,NCAA Women,I,SOUTH REGION,www.wvusports.com
West Virginia Wesleyan College,West Va. Wesleyan,Mountain East Conference,MEC,NCAA Women,II,ATLANTIC REGION,wesleyanbobcats.com
Western Carolina University,Western Caro.,Southern Conference,SoCon,NCAA Women,I,SOUTHEAST REGION,www.catamountsports.com
Western Colorado University,Western Colo.,Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.gomountaineers.com
Western Connecticut State University,WestConn,Little East Conference,Little East,NCAA Women,III,REGION I,www.westconnathletics.com
Western Illinois University,Western Ill.,Ohio Valley Conference,OVC,NCAA Women,I,SOUTH REGION,www.goleathernecks.com
Western Kentucky University,Western Ky.,Conference USA,CUSA,NCAA Women,I,SOUTH REGION,www.wkusports.com
Western Michigan University,Western Mich.,Mid-American Conference,MAC,NCAA Women,I,MIDWEST REGION,www.wmubroncos.com
Western New England University,Western New Eng.,Conference of New England,CNE,NCAA Women,III,REGION II,www.wnegoldenbears.com
Western New Mexico University,Western N.M.,Lone Star Conference,Lone Star,NCAA Women,II,SOUTH CENTRAL REGION,www.wnmumustangs.com
Western Oregon University,Western Ore.,Great Northwest Athletic Conference,Great Northwest,NCAA Women,II,WEST REGION,www.wouwolves.com
Western Washington University,Western Wash.,Great Northwest Athletic Conference,Great Northwest,NCAA Women,II,WEST REGION,www.wwuvikings.com
Webster University,Webster,St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,websterathletics.com
Weber State University,Weber St.,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,www.weberstatesports.com/
Waynesburg University,Waynesburg,Presidents' Athletic Conference,PAC,NCAA Women,III,REGION VII,www.waynesburgsports.com
Wayne State College (Nebraska),Wayne St. (NE),Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.wscwildcats.com/
Vassar College,Vassar,Liberty League,Liberty League,NCAA Women,III,REGION III,www.vassarathletics.com/
Vermont State University Castleton,VTSU Castleton,Little East Conference,Little East,NCAA Women,III,REGION I,www.castletonsports.com/landing/index
Vermont State University-Johnson,VTSU-Johnson,North Atlantic Conference,North Atlantic,NCAA Women,III,REGION I,nvubadgers.com/landing/index
Vermont State University Lyndon,VTSU Lyndon,North Atlantic Conference,North Atlantic,NCAA Women,III,REGION I,www.lyndonhornets.com
Villanova University,Villanova,Big East Conference,Big East,NCAA Women,I,MIDWEST REGION,www.villanova.com
University of Virginia,Virginia,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.virginiasports.com
The University of Virginia's College at Wise,UVA Wise,South Atlantic Conference,SAC,NCAA Women,II,SOUTHEAST REGION,www.uvawisecavs.com
Virginia Commonwealth University,VCU,Atlantic 10 Conference,Atlantic 10,NCAA Women,I,EAST REGION,www.vcuathletics.com
Virginia Polytechnic Institute and State University,Virginia Tech,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.hokiesports.com
Virginia State University,Virginia St.,Central Intercollegiate Athletic Association,CIAA,NCAA Women,II,ATLANTIC REGION,www.govsutrojans.com
Virginia Union University,Virginia Union,Central Intercollegiate Athletic Association,CIAA,NCAA Women,II,ATLANTIC REGION,vuusports.com/
Westfield State University,Westfield St.,Massachusetts State Collegiate Athletic Conference,MASCAC,NCAA Women,III,REGION II,www.WestfieldStateOwls.com
Virginia Wesleyan University,Va. Wesleyan,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,vwuathletics.com
Walsh University,Walsh,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,athletics.walsh.edu/landing/index
Warren Wilson College,Warren Wilson,Coast-To-Coast Athletic Conference,C2C,NCAA Women,III,REGION VI,warrenwilsonowls.com/landing/index
Wartburg College,Wartburg,American Rivers Conference,American Rivers,NCAA Women,III,REGION IX,www.go-knights.net
Washburn University,Washburn,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.wusports.com
University of Washington,Washington,Big Ten Conference,Big Ten,NCAA Women,I,WEST REGION,www.gohuskies.com
Washington and Lee University,Wash. & Lee,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,generalssports.com
Washington and Jefferson College,Wash. & Jeff.,Presidents' Athletic Conference,PAC,NCAA Women,III,REGION VII,www.gopresidents.com
Washington College (Maryland),Washington Col.,Centennial Conference,Centennial,NCAA Women,III,REGION V,www.WashingtonCollegeSports.com
Washington State University,Washington St.,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.wsucougars.com
Washington University in St. Louis,WashU,University Athletic Association,UAA,NCAA Women,III,REGION VIII,washubears.com
Wayne State University (Michigan),Wayne St. (MI),Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.wsuathletics.com
Wake Forest University,Wake Forest,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.godeacs.com
Vanguard University ,Vanguard,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,www.vanguardlions.com
Westminster College (Missouri),Westminster (MO),St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,www.wcbluejays.com/landing/index
Westminster University (Utah),Westminster (UT),Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.westminstergriffins.com
University of Wisconsin-Milwaukee,Milwaukee,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,www.mkepanthers.com
