,date,match,results,box_score_url,div
110,08/30/2024,Catholic (Landmark) vs Salisbury (C2C),"[0-3] (4-25, 9-25, 15-25)",https://stats.ncaa.org/contests/5667354/box_score,D-III
111,08/30/2024,Mary Hardin-Baylor (ASC) vs Pacific (OR) (NWC),"[3-0] (25-23, 25-19, 25-23)",https://stats.ncaa.org/contests/5667355/box_score,D-III
112,08/30/2024,Nazareth (Empire 8) vs Emerson (NEWMAC),"[0-3] (18-25, 22-25, 16-25)",https://stats.ncaa.org/contests/5667356/box_score,D-III
113,08/30/2024,Skidmore (Liberty League) vs Pomona-Pitzer (SCIAC),"[0-3] (17-25, 13-25, 5-25)",https://stats.ncaa.org/contests/5667357/box_score,D-III
114,08/30/2024,Fredonia (SUNYAC) vs Keuka (Empire 8),"[0-3] (23-25, 18-25, 19-25)",https://stats.ncaa.org/contests/5667358/box_score,D-III
115,08/30/2024,Cornell College (MWC) vs Wis.-Stevens Point (WIAC),"[3-2] (20-25, 26-24, 25-22, 18-25, 15-11)",https://stats.ncaa.org/contests/5667359/box_score,D-III
116,08/30/2024,Centenary (NJ) (Atlantic East) vs Alvernia (MACs),"[0-3] (13-25, 16-25, 16-25)",https://stats.ncaa.org/contests/5667360/box_score,D-III
117,08/30/2024,WestConn (Little East) vs New England Col. (Great Northeast),"[3-0] (25-18, 25-19, 25-11)",https://stats.ncaa.org/contests/5667361/box_score,D-III
118,08/30/2024,Gustavus Adolphus (MIAC) vs Transylvania (HCAC),"[3-2] (19-25, 20-25, 25-21, 25-19, 15-9)",https://stats.ncaa.org/contests/5667363/box_score,D-III
119,08/30/2024,Rutgers-Camden (NJAC) vs Stevenson (MACs),"[0-3] (24-26, 14-25, 12-25)",https://stats.ncaa.org/contests/5667364/box_score,D-III
120,08/30/2024,Susquehanna (Landmark) vs Eastern (MACs),"[0-3] (20-25, 21-25, 15-25)",https://stats.ncaa.org/contests/5667365/box_score,D-III
121,08/30/2024,Gallaudet (United East) vs Messiah (MACs),"[3-2] (25-22, 19-25, 25-19, 18-25, 15-12)",https://stats.ncaa.org/contests/5667366/box_score,D-III
122,08/30/2024,Southern Va. (USA South) vs Dickinson (Centennial),"[2-3] (17-25, 17-25, 27-25, 25-22, 13-15)",https://stats.ncaa.org/contests/5667367/box_score,D-III
123,08/30/2024,Wheaton (MA) (NEWMAC) vs Stockton (NJAC),"[2-3] (21-25, 20-25, 25-20, 25-22, 14-16)",https://stats.ncaa.org/contests/5667368/box_score,D-III
124,08/30/2024,Wm. Paterson (NJAC) vs Johns Hopkins (Centennial),"[0-3] (15-25, 13-25, 13-25)",https://stats.ncaa.org/contests/5667371/box_score,D-III
125,08/30/2024,Rose-Hulman (HCAC) vs Buena Vista (American Rivers),"[3-0] (25-19, 25-17, 25-22)",https://stats.ncaa.org/contests/5667373/box_score,D-III
126,08/30/2024,Asbury (Independent) vs Wooster (NCAC),"[3-0] (25-17, 25-16, 25-18)",https://stats.ncaa.org/contests/5667374/box_score,D-III
127,08/30/2024,Marian (WI) (NACC) vs Mount Mary (C2C),"[3-0] (25-11, 25-20, 26-24)",https://stats.ncaa.org/contests/5667375/box_score,D-III
