,date,match,results,box_score_url
1495,09/17/2024,Mercyhurst (NEC) vs Duquesne (Atlantic 10),"[0-3] (18-25, 23-25, 11-25)",https://stats.ncaa.org/contests/5671405/box_score
1496,09/17/2024,Saint Peter's (MAAC) vs Central Conn. St. (NEC),"[0-3] (20-25, 25-27, 22-25)",https://stats.ncaa.org/contests/5671406/box_score
1497,09/17/2024,Penn (Ivy League) vs NJIT (America East),"[3-1] (25-18, 25-19, 22-25, 25-15)",https://stats.ncaa.org/contests/5671407/box_score
1498,09/17/2024,Seton Hall (Big East) vs LIU (NEC),"[3-1] (25-19, 25-22, 13-25, 25-20)",https://stats.ncaa.org/contests/5671411/box_score
1499,09/17/2024,Charleston So. (Big South) vs Col. of Charleston (CAA),"[0-3] (24-26, 14-25, 16-25)",https://stats.ncaa.org/contests/5671413/box_score
1500,09/17/2024,Akron (MAC) vs Cincinnati (Big 12),"[2-3] (25-16, 21-25, 19-25, 25-21, 15-17)",https://stats.ncaa.org/contests/5671415/box_score
1501,09/17/2024,Prairie View (SWAC) vs Lamar University (Southland),"[1-3] (15-25, 25-21, 24-26, 19-25)",https://stats.ncaa.org/contests/5671423/box_score
1502,09/17/2024,California Baptist (WAC) vs CSUN (Big West),"[0-3] (19-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5671434/box_score
1503,09/17/2024,Ark.-Pine Bluff (SWAC) vs Ark.-Monticello (GAC),"[3-1] (25-23, 20-25, 27-25, 25-14)",https://stats.ncaa.org/contests/5671441/box_score
1504,09/17/2024,Middle Tenn. (CUSA) vs Virginia (ACC),"[1-3] (22-25, 25-22, 24-26, 21-25)",https://stats.ncaa.org/contests/5671446/box_score
1505,09/17/2024,UT Arlington (WAC) vs TCU (Big 12),"[0-3] (11-25, 17-25, 12-25)",https://stats.ncaa.org/contests/5671447/box_score
1506,09/17/2024,Northern Ariz. (Big Sky) vs Southern Utah (WAC),"[3-0] (25-23, 25-21, 25-16)",https://stats.ncaa.org/contests/5671448/box_score
1507,09/17/2024,New Mexico St. (CUSA) vs New Mexico (Mountain West),"[1-3] (19-25, 25-20, 23-25, 21-25)",https://stats.ncaa.org/contests/5671450/box_score
